"ERR127302","ERR127303","ERR127304","ERR127305","ERR127306","ERR127307","ERR127308","ERR127309"
"100126325",0,0,0,0,0,0,0,0
"100126326",0,0,0,0,0,0,0,0
"100126327",0,0,0,2,0,0,0,0
"100126328",3,0,0,5,2,0,4,0
"100126329",2,0,2,3,3,0,0,0
"100126331",0,0,0,0,0,0,0,1
"100126332",0,0,0,0,0,0,0,0
"100126333",0,0,1,0,0,0,0,0
"100126334",0,0,0,0,0,0,0,0
"100126335",0,0,0,0,0,0,0,0
"100126336",0,0,0,0,0,0,0,0
"100126338",0,0,0,0,0,0,0,0
"100126340",0,0,0,0,0,0,0,0
"100126341",0,0,0,0,0,0,0,0
"100126342",0,0,0,0,0,0,0,0
"100126343",0,0,0,0,0,0,0,0
"100126345",0,0,0,0,0,0,0,0
"100126346",0,0,0,0,0,0,0,0
"100126348",0,2,0,0,0,0,0,0
"100126349",0,0,0,0,0,0,0,0
"100126350",0,0,0,1,0,2,1,1
"100126351",0,0,0,0,0,0,0,0
"100126352",0,0,0,0,0,0,0,0
"100126355",0,0,0,0,0,0,0,0
"100126356",0,0,0,0,0,0,0,0
"100126780",10,2,0,0,2,2,0,4
"100126781",0,0,0,2,0,0,0,0
"100126784",6,2,8,6,13,16,10,6
"100126791",0,0,2,3,0,0,1,0
"100126793",4,8,8,4,3,8,6,10
"100126798",0,0,0,0,0,0,0,0
"100126800",0,0,0,0,0,0,0,0
"100127888",10,19,23,2,18,24,12,15
"100127889",9,7,4,7,4,14,8,6
"100127983",0,0,0,0,0,0,0,0
"100128023",0,0,0,0,0,0,0,0
"100128025",14,2,8,11,13,18,30,25
"100128054",0,0,0,0,0,0,0,0
"100128071",25,11,30,16,45,43,55,22
"100128076",0,0,1,3,0,6,4,0
"100128081",0,0,0,0,0,0,0,0
"100128098",0,0,0,0,0,0,0,0
"100128124",0,0,0,0,0,0,0,0
"100128126",0,1,0,0,2,2,6,2
"100128164",4,0,0,4,0,0,1,3
"100128176",0,2,2,2,2,0,2,2
"100128191",47,62,145,81,64,67,49,60
"100128239",0,0,0,0,0,0,0,0
"100128252",0,0,0,0,0,0,0,0
"100128264",0,0,0,0,0,0,0,0
"100128285",1,4,12,3,7,3,10,6
"100128288",36,40,30,23,22,40,18,24
"100128292",8,8,17,26,37,42,40,26
"100128327",16,10,6,12,26,40,24,18
"100128338",94,121,117,81,194,190,159,157
"100128361",47,33,64,64,47,57,59,53
"100128378",2,9,8,8,2,2,1,0
"100128385",1,0,6,10,0,6,7,4
"100128398",0,2,0,0,1,0,0,4
"100128420",0,0,0,0,0,0,0,0
"100128496",0,0,0,0,0,0,0,0
"100128505",0,0,0,0,0,0,0,0
"100128531",2,0,2,0,3,1,0,0
"100128542",0,0,0,0,0,0,0,0
"100128553",192,226,122,109,95,94,72,76
"100128554",0,0,0,0,0,0,0,0
"100128569",1272,750,1265,1542,1177,1136,1254,1129
"100128573",26,28,13,8,18,6,14,12
"100128590",0,0,0,0,2,0,0,0
"100128593",0,0,0,0,0,0,0,0
"100128640",20,20,29,25,31,54,47,17
"100128675",2,2,4,0,6,4,1,1
"100128682",0,0,0,0,0,0,0,0
"100128714",0,0,0,0,0,0,0,0
"100128731",1678,1785,2396,2316,2149,2548,2361,1944
"100128782",73,57,97,80,168,209,197,173
"100128787",0,0,0,0,0,0,0,0
"100128788",57,61,39,19,20,24,32,36
"100128811",0,0,0,0,0,0,0,0
"100128822",24,26,46,34,50,58,46,72
"100128881",693,505,600,692,580,660,648,545
"100128890",0,0,0,0,0,0,0,0
"100128927",377,319,386,432,528,607,555,469
"100128946",0,0,0,0,0,0,0,0
"100128977",0,0,0,0,0,0,0,0
"100128993",0,0,0,0,0,0,0,0
"100129027",0,0,0,0,0,0,0,0
"100129034",913,812,1219,1468,891,1015,943,839
"100129046",6,1,4,3,1,1,2,4
"100129055",4,2,0,0,0,0,0,0
"100129066",0,0,0,0,0,0,0,0
"100129075",36,49,94,68,58,70,54,61
"100129083",0,0,0,0,0,0,2,0
"100129128",0,0,0,0,0,0,0,0
"100129138",2,0,2,2,0,2,4,0
"100129148",1,3,0,1,0,0,0,0
"100129196",6,9,7,1,18,11,13,12
"100129213",0,0,0,0,0,0,0,0
"100129216",1,3,0,0,0,0,0,0
"100129239",0,0,0,0,0,0,0,0
"100129250",22,21,31,42,43,31,30,34
"100129269",4,4,2,0,2,0,1,0
"100129271",0,0,0,0,0,0,0,0
"100129316",2,0,4,0,2,4,2,2
"100129345",0,0,0,0,0,0,0,0
"100129354",20,15,18,14,8,8,8,6
"100129361",123,137,142,120,214,221,196,171
"100129387",200,217,134,123,123,173,213,161
"100129396",8,16,7,10,4,2,2,0
"100129405",555,510,697,650,786,786,726,671
"100129407",0,0,0,0,0,0,0,0
"100129424",212,90,192,872,717,844,940,834
"100129427",0,0,0,0,0,0,0,0
"100129460",65,83,77,47,93,102,73,106
"100129464",0,0,0,0,0,0,0,0
"100129480",48,67,62,50,25,21,23,17
"100129482",278,287,310,231,236,310,311,207
"100129515",0,0,0,0,0,0,0,0
"100129518",12,10,12,12,13,16,11,11
"100129520",0,0,0,0,0,0,0,0
"100129534",52,32,78,87,115,116,117,96
"100129550",244,267,140,131,117,151,93,102
"100129583",0,0,0,0,1,4,0,6
"100129617",4,14,18,9,6,6,0,4
"100129620",0,0,0,0,0,0,0,0
"100129636",0,0,0,0,0,0,0,0
"100129654",0,0,0,0,0,0,0,0
"100129662",0,0,0,0,0,0,0,0
"100129716",4,16,10,10,26,14,18,18
"100129722",12,6,6,4,10,5,4,9
"100129726",6,10,4,11,20,5,5,6
"100129792",0,2,0,0,0,0,0,0
"100129794",1,13,6,9,5,7,9,14
"100129827",0,0,0,0,0,0,0,0
"100129842",0,4,4,2,0,0,6,2
"100129845",3,0,4,3,5,3,0,5
"100129858",0,0,0,0,0,0,0,0
"100129885",26,14,16,18,37,47,33,51
"100129917",74,58,75,59,85,79,70,60
"100129924",6,6,6,3,2,1,3,4
"100129931",17,14,14,20,8,5,9,1
"100129935",0,0,0,0,0,0,0,0
"100129961",4,3,7,8,0,7,4,2
"10013",1374,1169,1077,1040,3056,3189,3307,2956
"100130000",35,33,6,5,6,6,16,12
"100130015",73,51,71,79,102,85,115,102
"100130017",0,0,0,0,0,0,0,0
"100130086",33,17,22,26,18,28,20,23
"100130093",48,47,48,73,79,80,89,85
"100130148",2,0,0,0,0,0,0,0
"100130155",0,0,0,0,0,0,0,0
"100130197",1,0,0,2,1,1,1,1
"100130231",0,0,0,0,0,2,0,0
"100130238",4,0,0,2,0,0,0,0
"100130264",0,0,0,0,0,0,0,0
"100130274",8,2,6,10,2,0,2,0
"100130275",92,79,112,135,116,127,102,150
"100130298",0,0,0,0,0,0,0,0
"100130301",0,0,0,0,0,0,0,0
"100130302",0,0,0,0,0,0,0,0
"100130311",3,10,24,10,2,5,11,8
"100130331",0,0,0,0,3,0,0,0
"100130342",0,0,0,0,0,0,0,0
"100130348",0,4,4,1,1,0,0,2
"100130357",9,8,9,7,7,3,3,5
"100130386",0,0,0,0,0,0,0,0
"100130417",225,210,77,55,139,192,186,144
"100130418",94,82,164,142,216,229,248,218
"100130449",8,4,8,8,2,4,0,4
"100130451",0,4,0,0,0,0,0,0
"100130452",0,0,0,0,0,0,0,0
"100130480",0,0,0,0,0,0,0,0
"100130519",2,8,4,4,9,4,4,2
"100130522",16,4,8,2,9,18,22,18
"100130557",72,101,80,40,25,25,54,76
"100130581",221,242,359,304,114,143,145,153
"100130613",0,0,0,0,0,0,0,0
"100130673",0,0,0,0,3,0,0,0
"100130691",25,23,21,24,33,31,25,21
"100130700",0,0,0,0,0,0,0,0
"100130705",37,44,87,114,25,33,28,26
"100130717",4,4,8,8,9,13,13,6
"100130733",5,12,5,2,2,2,4,0
"100130742",10,16,11,8,11,4,10,0
"100130771",2,4,7,0,4,5,2,0
"100130776",143,142,194,274,238,288,285,237
"100130827",11,6,5,6,28,35,24,14
"100130849",0,0,0,0,0,0,0,0
"100130855",26,33,51,39,30,33,34,26
"100130872",123,118,157,124,128,124,149,119
"100130880",0,0,2,0,0,0,2,0
"100130889",7,3,13,8,9,6,2,3
"100130890",13,21,32,13,30,9,21,17
"100130894",2,2,5,3,3,3,6,0
"100130899",4,0,0,0,2,0,0,2
"100130933",4,0,2,2,2,1,0,0
"100130950",22,42,25,14,32,42,23,28
"100130954",0,0,0,0,0,0,0,0
"100130958",4,2,1,2,1,0,0,3
"100130967",4,4,0,7,6,8,9,10
"100130987",18,26,22,15,52,36,44,25
"100130988",0,0,0,0,0,0,0,0
"100130992",0,0,0,0,0,0,0,0
"100131047",0,0,0,0,0,0,0,0
"100131060",2,0,1,1,0,4,7,2
"100131067",36,25,66,38,56,40,68,57
"100131089",48,35,48,28,81,122,96,71
"100131094",42,25,41,51,60,65,57,61
"100131096",672,617,232,250,296,331,277,257
"100131117",0,0,1,0,0,0,2,0
"100131137",0,0,0,0,0,0,0,0
"100131138",0,0,0,0,0,0,0,0
"100131176",0,0,0,0,0,0,0,0
"100131187",0,0,0,0,2,0,5,0
"100131193",14,16,23,32,63,67,55,62
"100131208",12,10,13,11,10,10,15,11
"100131211",235,288,191,140,279,331,341,276
"100131213",62,57,47,64,106,119,135,118
"100131234",0,0,0,0,0,0,2,4
"100131244",0,6,10,4,0,1,3,2
"100131257",0,0,0,0,0,0,0,0
"100131289",0,0,0,0,0,0,0,0
"100131320",0,0,0,0,0,0,0,0
"100131347",0,4,6,8,0,4,4,0
"100131366",0,0,0,0,0,0,0,0
"100131378",10,6,2,3,10,7,6,3
"100131390",0,0,2,0,2,0,0,4
"100131434",26,17,12,8,14,32,14,14
"100131439",0,0,0,0,0,0,0,0
"100131454",8,12,6,13,20,9,32,18
"100131496",2,0,0,0,2,0,0,4
"100131551",91,91,82,84,142,207,170,159
"100131561",0,2,2,0,6,0,2,3
"100131564",52,59,52,12,57,66,57,68
"100131635",0,0,0,0,0,0,0,0
"100131655",9,2,12,3,9,11,14,14
"100131691",26,20,22,17,33,40,52,30
"100131726",6,12,3,4,6,20,9,12
"100131733",1,0,0,2,2,0,1,0
"100131755",0,0,0,0,0,0,0,0
"100131801",174,232,190,110,124,135,167,136
"100131814",0,0,0,0,3,4,1,2
"100131816",0,0,0,0,0,0,0,0
"100131825",0,0,0,0,0,0,0,0
"100131827",64,63,82,68,71,56,80,68
"100131897",0,0,0,0,0,0,0,0
"100131902",0,0,0,0,0,0,0,0
"100131980",0,0,0,0,0,0,0,0
"100131998",112,116,160,134,91,98,92,78
"100132077",24,22,18,16,11,22,34,28
"100132101",22,22,38,24,18,15,25,5
"100132103",0,0,0,0,0,0,0,0
"100132111",4,14,11,4,11,22,15,10
"100132146",0,0,0,0,0,0,0,0
"100132163",300,264,496,417,157,190,175,182
"100132215",18,4,9,14,7,17,10,7
"100132247",544,509,619,638,549,674,765,629
"100132273",70,86,85,75,99,83,73,65
"100132285",0,0,0,0,0,0,0,0
"100132287",24,13,34,32,42,75,58,50
"100132288",210,176,133,163,183,168,148,155
"100132341",191,161,176,204,158,180,204,158
"100132352",30,12,22,13,16,25,16,23
"100132354",2,2,2,12,2,2,6,2
"100132356",40,37,43,44,45,66,72,40
"100132386",0,0,0,0,0,0,0,0
"100132396",0,0,0,0,0,0,0,0
"100132399",19,18,29,20,26,15,19,20
"100132403",7,10,12,4,26,15,19,6
"100132406",529,639,874,475,513,487,555,444
"100132417",0,0,0,0,0,0,0,0
"100132463",0,2,2,4,0,4,0,0
"100132464",0,0,0,0,0,0,0,0
"100132476",0,0,0,0,0,0,0,0
"100132526",0,0,0,0,0,0,0,0
"100132565",0,0,0,0,0,0,0,0
"100132596",0,0,0,0,0,0,0,0
"100132618",5,2,3,2,1,2,2,4
"100132677",0,0,0,0,0,0,0,0
"100132707",33,26,39,32,28,37,34,35
"100132708",2,6,2,0,2,2,6,2
"100132724",2,4,2,2,4,2,2,2
"100132735",0,0,0,0,0,0,0,0
"100132741",0,0,0,0,0,0,0,0
"100132774",26,18,64,51,30,38,54,50
"100132781",2,2,4,0,0,0,2,0
"100132831",0,0,0,0,0,0,0,0
"100132832",9,3,6,5,4,1,6,4
"100132891",0,0,0,0,0,0,3,0
"100132911",44,66,40,45,37,27,22,34
"100132916",0,0,0,0,0,0,0,2
"100132923",0,0,0,0,0,0,0,0
"100132948",14,16,11,11,22,21,14,9
"100132963",0,0,0,0,0,0,0,0
"100132967",12,4,10,6,0,8,6,10
"100132979",0,0,0,0,0,0,0,0
"100132987",0,0,0,0,0,0,0,0
"100132994",0,0,0,0,0,0,0,0
"100133036",0,0,2,0,0,0,0,0
"100133050",4,13,22,11,12,7,31,14
"100133091",162,157,199,145,133,200,167,191
"100133121",9,16,7,5,22,16,42,22
"100133123",0,0,0,0,0,0,0,0
"100133144",3,5,2,2,2,0,0,2
"100133161",105,97,132,134,227,155,207,167
"100133172",0,0,1,2,0,3,0,2
"100133205",2,4,2,7,2,2,2,2
"100133234",0,2,0,0,0,4,2,0
"100133286",2,5,1,2,7,2,7,9
"100133308",0,0,0,0,0,0,0,0
"100133311",0,4,0,0,1,2,3,0
"100133315",38,41,64,41,28,16,28,24
"100133331",208,151,232,203,330,344,336,295
"100133445",0,0,0,0,0,0,0,0
"100133461",0,0,0,0,0,0,0,0
"100133545",42,22,12,7,18,14,14,13
"100133612",6,14,12,10,6,12,11,16
"100133669",77,65,66,74,71,49,73,59
"100133920",0,0,0,0,0,0,0,0
"100133941",6336,8348,11842,8788,10766,13396,12457,12472
"100133957",3,0,4,2,0,0,1,0
"100133985",4,8,2,4,15,2,5,14
"100133991",58,52,43,53,67,85,71,46
"100134015",6,13,8,0,4,4,5,9
"100134229",0,0,6,0,2,6,0,0
"100134259",6,14,10,6,6,27,20,14
"100134317",6,3,2,0,8,24,14,7
"100134368",7,5,8,7,14,6,7,12
"100134713",81,53,90,74,97,100,73,98
"100134868",0,0,0,0,0,0,0,0
"100134869",3,2,2,0,0,2,2,0
"100137047",121,93,141,100,161,132,149,136
"100137049",20,22,13,11,26,17,20,13
"10014",1065,891,1565,1681,1935,1996,1941,1655
"100141515",2,0,0,0,0,0,0,0
"100144596",0,0,0,0,0,0,0,0
"100144597",0,0,0,0,0,0,0,0
"100144602",36,30,10,11,44,22,53,38
"100144603",13,8,14,14,33,21,44,38
"100144604",0,0,0,0,0,0,0,0
"100144748",22,26,21,28,51,60,58,62
"10015",2261,2754,3775,3191,3078,3774,3377,3346
"100151643",0,0,0,0,0,0,0,0
"100151683",2,4,5,0,0,0,0,2
"100151684",2,0,0,2,0,0,0,0
"100158262",112,122,100,98,56,86,76,80
"10016",10376,11149,14149,16059,8874,10286,10360,9852
"100169750",0,0,0,0,0,0,0,0
"100169752",0,0,0,0,0,0,0,0
"100169851",0,0,0,0,0,0,0,0
"100169890",0,0,0,0,0,0,0,0
"100169951",0,0,0,0,0,0,0,0
"100169989",0,2,0,0,0,0,0,0
"10017",0,0,0,0,0,2,0,0
"100170217",0,0,0,2,0,6,0,6
"100170218",0,0,0,0,0,0,0,0
"100170219",0,0,0,0,0,0,0,0
"100170220",0,0,0,0,0,0,0,0
"100170221",0,0,0,0,0,0,0,0
"100170222",0,0,0,0,0,0,0,0
"100170226",0,0,0,0,0,0,2,2
"100170227",0,0,0,0,0,0,0,0
"100170228",0,0,0,0,0,0,0,0
"100170229",0,0,0,0,0,0,0,0
"100170765",4,3,3,1,0,0,0,0
"100170841",1764,1752,2396,2258,1520,1634,1672,1580
"100170939",12,12,13,28,12,34,19,24
"10018",986,1107,1750,1534,666,705,749,617
"100187716",1,0,0,2,0,1,0,0
"100188847",0,0,0,0,0,0,0,0
"100188893",0,0,0,0,0,0,0,0
"100188947",0,2,0,2,2,4,2,2
"100188949",0,0,0,0,0,0,0,0
"100188953",0,2,0,0,2,0,0,0
"100188954",0,0,0,0,2,0,0,0
"100189589",7,1,2,1,1,1,0,1
"10019",600,560,814,822,371,388,391,281
"100190938",2,2,0,0,0,0,0,0
"100190939",4365,4619,642,725,2106,2560,2286,2226
"100190940",0,0,0,0,0,0,0,0
"100190949",0,0,0,0,0,0,0,0
"100190986",69,92,58,37,31,26,28,26
"100191040",9,2,4,0,14,10,16,9
"100192204",0,2,0,0,0,0,0,0
"100192378",0,0,0,0,0,0,0,0
"100192379",0,0,0,0,0,0,0,0
"100192386",12,2,6,2,8,16,2,6
"100192420",0,2,0,0,0,0,0,2
"100192426",0,0,0,0,0,0,0,0
"1002",15,7,16,13,19,7,0,10
"10020",2580,2953,2898,2821,2995,3775,3465,3373
"10021",0,0,0,0,0,0,0,0
"100216001",0,0,0,0,0,0,0,0
"100216545",66,62,122,106,120,132,154,112
"100216546",116,140,172,68,77,86,74,61
"10022",0,0,0,0,0,0,0,0
"10023",86,58,100,114,82,98,78,96
"100233156",85,84,58,59,129,119,173,114
"100233209",0,2,0,0,0,0,0,0
"10024",2120,1895,2721,2767,2402,2590,2551,2324
"100240734",0,0,2,4,2,2,6,2
"100240735",2,0,0,0,0,0,0,0
"10025",859,715,1335,1534,2584,2693,2761,2302
"10026",3375,4258,2250,1724,2294,2934,2608,2544
"100268168",17,30,25,26,8,10,21,11
"100270679",0,0,0,0,0,0,0,0
"100270710",0,0,0,0,0,0,0,0
"100270746",20,27,43,24,37,22,33,34
"100270804",12,16,6,22,6,12,3,6
"100271702",0,0,0,0,0,0,0,0
"100271715",0,0,1,0,0,0,0,0
"100271722",102,100,80,87,64,81,55,59
"100271831",0,0,0,0,0,0,0,0
"100271832",0,0,0,0,0,0,0,0
"100271835",60,67,94,62,41,46,57,54
"100271836",535,640,686,501,333,400,389,311
"100271846",2,2,2,0,0,6,0,0
"100271849",7,4,4,2,2,5,1,2
"100272147",49,81,93,64,31,38,53,58
"100272148",0,0,0,0,0,0,0,0
"100272216",4,2,2,2,8,16,6,10
"100272217",4,4,6,8,16,20,12,10
"100272228",34,56,58,58,53,65,54,76
"100286793",72,93,104,92,144,175,178,187
"100286844",16,22,19,17,42,32,39,21
"100286922",0,0,0,0,0,0,0,0
"100286938",0,0,0,0,0,0,0,0
"100286979",44,42,38,34,28,37,49,32
"100287010",0,0,0,0,0,0,0,0
"100287015",56,51,81,121,76,89,97,104
"100287029",4,2,0,0,2,4,2,1
"100287036",4,2,9,11,5,6,0,0
"100287042",52,44,68,107,135,149,151,133
"100287114",0,0,0,0,0,0,0,0
"100287171",248,184,303,373,306,305,365,272
"100287177",43,56,112,75,96,108,95,72
"100287216",40,42,20,28,58,53,72,40
"100287225",0,0,0,0,0,0,0,0
"100287226",0,0,0,0,0,0,0,0
"100287227",3,6,4,6,14,17,9,31
"100287284",2,6,6,0,6,5,2,2
"100287314",0,0,0,0,0,0,0,0
"100287362",0,0,0,0,0,0,0,0
"100287428",0,0,0,0,0,0,0,0
"100287466",0,0,0,0,0,0,0,0
"100287482",8,8,16,14,12,4,12,8
"100287559",4,0,4,2,2,0,9,0
"100287569",40,49,30,31,95,106,123,103
"100287616",0,4,2,0,0,0,0,0
"100287632",0,0,0,0,0,0,0,0
"100287704",0,0,0,0,0,0,0,0
"100287718",0,0,0,0,0,0,0,0
"100287722",3,6,9,6,7,6,5,4
"100287765",40,47,66,26,47,58,28,32
"100287792",0,0,0,0,0,0,0,0
"100287814",0,0,0,0,0,0,0,0
"100287834",0,0,0,0,0,0,0,0
"100287846",0,0,0,0,0,0,0,0
"100287879",0,0,0,0,0,0,0,0
"100287898",2,0,0,0,0,0,0,0
"100287902",0,0,0,0,0,1,0,0
"100287932",1591,2042,2042,1683,1385,1610,1512,1431
"100287944",6,2,3,0,4,0,2,2
"100288069",15,8,19,20,40,37,39,32
"100288077",0,0,0,0,0,0,0,0
"100288079",0,4,0,1,0,1,0,0
"100288122",0,0,0,0,0,0,0,0
"100288123",50,43,62,68,48,59,44,43
"100288181",581,725,569,514,395,458,467,429
"100288198",14,15,20,5,16,15,21,24
"100288287",0,0,0,0,0,0,0,0
"100288323",0,0,0,0,0,0,0,0
"100288346",0,0,0,0,0,0,0,0
"100288413",0,0,0,0,0,0,0,0
"100288428",0,0,0,0,0,0,0,0
"100288432",9,13,9,9,13,23,13,16
"100288485",0,0,0,0,0,0,0,0
"100288486",0,1,0,0,2,0,2,2
"100288524",0,0,0,0,0,0,0,0
"100288527",0,0,0,0,0,2,0,0
"100288615",32,38,41,20,26,33,34,30
"100288637",534,665,813,668,413,474,440,436
"100288687",0,0,0,0,0,0,0,0
"100288695",10,3,13,12,6,9,8,9
"100288730",26,18,10,20,9,10,25,14
"100288748",0,0,0,0,0,0,0,0
"100288778",601,451,862,877,773,751,786,615
"100288797",0,0,0,0,5,0,0,6
"100288814",0,0,0,0,0,0,0,0
"100288842",16,10,12,14,15,16,10,18
"100288846",0,2,6,1,5,4,3,2
"100288911",53,58,70,62,86,78,75,117
"100288974",0,0,0,0,0,0,0,0
"100289017",0,0,0,0,0,0,0,0
"100289019",614,528,659,604,295,285,364,268
"100289178",34,37,26,17,33,50,41,35
"100289187",2,2,0,0,2,0,0,4
"100289211",8,6,2,2,0,0,0,2
"100289230",24,22,26,38,45,38,28,44
"100289255",0,0,0,0,0,0,0,0
"100289341",11,14,28,10,44,37,52,36
"100289361",14,14,36,18,16,18,24,27
"100289373",10,26,17,28,46,45,42,27
"100289410",0,0,0,0,0,0,0,0
"100289462",0,0,0,0,0,0,0,0
"100289473",0,0,0,0,0,0,0,0
"100289495",0,0,6,0,0,1,0,2
"100289509",3,5,18,4,2,5,2,1
